target_id,action_id,target_name,action_name,frequency,is_recommended
27,4,サイドミラー,加工,1,False
6,7,燃料タンク,取付,1,False
51,10,コンプレッサー,製作,1,False
19,5,バンパーフィニッシャー,交換,1,False
8,11,ホース,点検,1,False
6,17,燃料タンク,付替,1,False
8,17,ホース,付替,1,False
25,15,マッドガード,鈑金,1,False
23,13,バッテリー,調整,1,False
20,21,アンダーミラー,貼付,1,False
10,23,コーナーパネル,引出し,1,False
10,3,コーナーパネル,溶接,1,False
8,10,ホース,製作,1,False
10,26,コーナーパネル,組替,1,False
26,2,ヘッドライト,脱着,1,False
27,13,サイドミラー,調整,1,False
18,4,アッパーフェンダー,加工,1,False
12,4,ブレーキ,加工,1,False
12,10,ブレーキ,製作,1,False
12,27,ブレーキ,切替,1,False
4,22,ブラケット,清掃,1,False
23,20,バッテリー,カバー,1,False
62,1,バッテリーカバー,取替,1,False
62,4,バッテリーカバー,加工,1,False
62,20,バッテリーカバー,カバー,1,False
33,7,エアタンク,取付,1,False
33,10,エアタンク,製作,1,False
32,7,アンダーカバー,取付,1,False
10,6,コーナーパネル,修理,1,False
9,28,ハンドル,仕上げ,1,False
5,18,パイプ,取り外し,1,False
34,8,エンジンカバー,修正,1,False
40,8,エンジン,修正,1,False
44,2,リアフェンダー,脱着,1,False
39,8,サイドパネル,修正,1,False
39,23,サイドパネル,引出し,1,False
46,2,アッパーステップ,脱着,1,False
34,3,エンジンカバー,溶接,1,False
34,4,エンジンカバー,加工,1,False
34,7,エンジンカバー,取付,1,False
40,3,エンジン,溶接,1,False
40,4,エンジン,加工,1,False
19,6,バンパーフィニッシャー,修理,1,False
21,12,マフラーカバー,切断,1,False
54,8,アドブルータンク,修正,1,False
44,7,リアフェンダー,取付,1,False
44,9,リアフェンダー,曲がり直し,1,False
43,14,インナーパネル,塗装,1,False
43,29,インナーパネル,錆止め,1,False
46,1,アッパーステップ,取替,1,False
25,8,マッドガード,修正,1,False
31,1,セカンドステップ,取替,1,False
17,8,フロントバンパー,修正,1,False
54,2,アドブルータンク,脱着,1,False
54,11,アドブルータンク,点検,1,False
55,2,ロアステップ,脱着,1,False
3,26,ステー,組替,1,False
15,20,インナーバンパー,カバー,1,False
38,8,エンドカバー,修正,1,False
50,17,サイドセンサー,付替,1,False
1,24,ドア,補修,1,False
47,2,シートベルト,脱着,1,False
28,13,バックミラー,調整,1,False
26,15,ヘッドライト,鈑金,1,False
9,20,ハンドル,カバー,1,False
56,5,ホーン,交換,1,False
12,8,ブレーキ,修正,1,False
41,2,ペダル,脱着,1,False
41,8,ペダル,修正,1,False
39,1,サイドパネル,取替,1,False
29,7,ロアフェンダー,取付,1,False
29,2,ロアフェンダー,脱着,1,False
2,5,サイドガード,交換,1,False
