target_id,action_id,position_id,target_name,action_name,position_name,frequency,is_recommended
16,1,22,ファーストステップ,取替,ファースト,3,True
42,20,11,ロアカバー,カバー,ロア,3,True
8,18,3,ホース,取り外し,外,3,True
3,2,7,ステー,脱着,上,3,True
5,4,9,パイプ,加工,下,3,True
5,12,6,パイプ,切断,前,3,True
3,7,6,ステー,取付,前,3,True
1,34,6,ドア,分解,前,3,True
5,1,1,パイプ,取替,左,3,True
5,7,1,パイプ,取付,左,3,True
12,1,4,ブレーキ,取替,サイド,3,True
1,10,2,ドア,製作,右,3,True
2,14,2,サイドガード,塗装,右,3,True
2,12,13,サイドガード,切断,後,3,True
5,12,13,パイプ,切断,後,3,True
27,2,4,サイドミラー,脱着,サイド,3,True
4,1,6,ブラケット,取替,前,3,True
3,2,8,ステー,脱着,センター,3,True
3,3,19,ステー,溶接,2番,3,True
25,5,1,マッドガード,交換,左,3,True
2,6,1,サイドガード,修理,左,3,True
3,6,1,ステー,修理,左,3,True
8,1,2,ホース,取替,右,3,True
8,4,2,ホース,加工,右,3,True
4,6,1,ブラケット,修理,左,3,True
10,8,2,コーナーパネル,修正,右,3,True
5,4,13,パイプ,加工,後,3,True
10,2,1,コーナーパネル,脱着,左,2,True
24,2,2,タイヤハウスカバー,脱着,右,2,True
29,5,11,ロアフェンダー,交換,ロア,2,True
31,2,1,セカンドステップ,脱着,左,2,True
30,1,1,ドアパネル,取替,左,2,True
18,8,15,アッパーフェンダー,修正,アッパー,2,True
25,1,5,マッドガード,取替,フロント,2,True
27,1,1,サイドミラー,取替,左,2,True
15,5,10,インナーバンパー,交換,インナー,2,True
17,4,5,フロントバンパー,加工,フロント,2,True
17,7,5,フロントバンパー,取付,フロント,2,True
12,3,4,ブレーキ,溶接,サイド,2,True
21,20,3,マフラーカバー,カバー,外,2,True
15,2,10,インナーバンパー,脱着,インナー,2,True
16,20,11,ファーストステップ,カバー,ロア,2,True
42,20,1,ロアカバー,カバー,左,2,True
42,20,22,ロアカバー,カバー,ファースト,2,True
43,15,10,インナーパネル,鈑金,インナー,2,True
9,3,1,ハンドル,溶接,左,2,True
9,4,1,ハンドル,加工,左,2,True
17,11,5,フロントバンパー,点検,フロント,2,True
20,2,4,アンダーミラー,脱着,サイド,2,True
2,7,6,サイドガード,取付,前,2,True
3,9,6,ステー,曲がり直し,前,2,True
19,9,1,バンパーフィニッシャー,曲がり直し,左,2,True
44,1,1,リアフェンダー,取替,左,2,True
2,23,1,サイドガード,引出し,左,2,True
2,23,4,サイドガード,引出し,サイド,2,True
1,17,1,ドア,付替,左,2,True
1,34,1,ドア,分解,左,2,True
2,4,9,サイドガード,加工,下,2,True
2,10,9,サイドガード,製作,下,2,True
3,4,9,ステー,加工,下,2,True
3,7,9,ステー,取付,下,2,True
5,1,2,パイプ,取替,右,2,True
1,7,13,ドア,取付,後,2,True
12,1,7,ブレーキ,取替,上,2,True
12,34,4,ブレーキ,分解,サイド,2,True
12,34,7,ブレーキ,分解,上,2,True
4,8,6,ブラケット,修正,前,2,True
3,2,9,ステー,脱着,下,2,True
2,3,24,サイドガード,溶接,1番,2,True
3,3,24,ステー,溶接,1番,2,True
3,14,2,ステー,塗装,右,2,True
19,1,1,バンパーフィニッシャー,取替,左,2,True
4,28,7,ブラケット,仕上げ,上,2,True
3,12,13,ステー,切断,後,2,True
3,27,13,ステー,切替,後,2,True
23,4,7,バッテリー,加工,上,2,True
39,4,1,サイドパネル,加工,左,2,True
39,4,4,サイドパネル,加工,サイド,2,True
5,27,9,パイプ,切替,下,2,True
4,18,1,ブラケット,取り外し,左,2,True
4,18,2,ブラケット,取り外し,右,2,True
4,18,3,ブラケット,取り外し,外,2,True
4,7,3,ブラケット,取付,外,2,True
3,9,8,ステー,曲がり直し,センター,2,True
30,15,2,ドアパネル,鈑金,右,2,True
4,3,13,ブラケット,溶接,後,2,True
