name,name_norm,is_active,count,example
ミラー付替,ミラー付替,true,2,ミラー付替
右バックミラー,右バックミラー,true,2,右バックミラー脱着
コボレーンシート,コボレーンシート,false,2,コボレーンシート押え脱着
シートASSY交換,シートASSY交換,false,2,ドライバーシートASSY交換
シート点検,シート点検,false,2,センターシート点検
パイプ,パイプ,true,158,ヒーターパイプ応急溶接
テールパイプ,テールパイプ,true,23,テールパイプ取替
ジャバラパイプ,ジャバラパイプ,true,14,ジャバラパイプ脱着
エキゾーストパイプ,エキゾーストパイプ,true,4,エキゾーストパイプ前側腐食切断パチ当て加工溶接
サイドガードコーナーパイプ,サイドガードコーナーパイプ,true,3,サイドガードコーナーパイプ1本製作切替溶接
パイプ交換,パイプ交換,true,3,テールパイプ交換
チャージパイプ,チャージパイプ,true,2,チャージパイプ交換
パイプカバー,パイプカバー,true,2,ジャバラパイプカバー
パイプ切替鈑金,パイプ切替鈑金,true,2,通しパイプ切替鈑金
ヒーターパイプ,ヒーターパイプ,true,2,ヒーターパイプ応急溶接
左サイドガードパイプ,左サイドガードパイプ,true,2,左サイドガードパイプ腐食部分切替加工溶接
左ジャバラパイプ,左ジャバラパイプ,true,2,左ジャバラパイプガード脱着
左幌骨パイプ,左幌骨パイプ,true,2,左幌骨パイプ腐食部分切断切替加工溶接
折損パイプ,折損パイプ,true,2,折損パイプ取付溶接
通しパイプ,通しパイプ,true,2,通しパイプ切替鈑金
ゴム,ゴム,true,175,ウェザーストリップゴム取替
左右泥除けゴム,左右泥除けゴム,true,15,左右泥除けゴム脱着ブラケット切断脱着曲がり直し付け替え溶接
泥除けゴム,泥除けゴム,true,13,泥除けゴム化粧板脱着付替え加工
ゴム交換,ゴム交換,true,12,タイコマフラー前後ステー脱着吊り下げゴム交換
ウェザーストリップゴム,ウェザーストリップゴム,true,7,ウェザーストリップゴム取替
ブッシュゴム,ブッシュゴム,true,7,ブッシュゴム貼替
リヤ泥除けゴム,リヤ泥除けゴム,true,7,リヤ泥除けゴム取替
右ドアーストリップゴム,右ドアーストリップゴム,true,7,右ドアーストリップゴム脱着
アーチゴム,アーチゴム,true,6,アーチゴム取替加工
グウェザーストリップゴム,グウェザーストリップゴム,true,6,右ウィングウェザーストリップゴム清掃点検
ゴム取付,ゴム取付,true,4,リヤゲート戸当たりゴム取付
ゴム貼付,ゴム貼付,true,4,ウィング左ウェザーストリップゴム貼付
ストリップゴム,ストリップゴム,true,4,左右前後ウィングドアーストリップゴム接着材剝ぎ取り･ストリップゴム接着貼替
プラットホームゴム,プラットホームゴム,true,4,プラットホームゴム3本取替加工
戸当たりゴム,戸当たりゴム,true,4,戸当たりゴム脱着
左アーチゴム,左アーチゴム,true,4,左アーチゴム取替ステー曲がり直し
クッションゴム,クッションゴム,true,3,クッションゴム取替貼付２枚
ゴム付替え,ゴム付替え,true,3,泥除けゴム付替え
スプラッシュゴム,スプラッシュゴム,true,3,スプラッシュゴム交換
スプラッシュシールゴム,スプラッシュシールゴム,true,3,スプラッシュシールゴム取替
ろウェザーストリップゴム,ろウェザーストリップゴム,true,3,右ウィング後ろウェザーストリップゴム清掃貼替加工
左ウェザーストリップゴム,左ウェザーストリップゴム,true,3,左ウェザーストリップゴム取替
左右アーチゴム,左右アーチゴム,true,3,左右アーチゴム取り換え
所ウェザーストリップゴム,所ウェザーストリップゴム,true,3,ウィング左右３ヶ所ウェザーストリップゴム貼り付け清掃
敷ゴム,敷ゴム,true,3,敷ゴム貼替取替
アウェザーストリップゴム,アウェザーストリップゴム,true,2,右ドアウェザーストリップゴム交換スカッフプレート脱着
ゴム付替,ゴム付替,true,2,アーチゴム付替
センター泥除けゴム,センター泥除けゴム,true,2,センター泥除けゴムブラケット取外し取替
ドウェザーストリップゴム,ドウェザーストリップゴム,true,2,リッドウェザーストリップゴム取替
フロントマッドガードゴム,フロントマッドガードゴム,true,2,左右フロントマッドガードゴム取替加工
右ウェザーストリップゴム,右ウェザーストリップゴム,true,2,左右ウェザーストリップゴム取替加工
右リア泥除けゴム,右リア泥除けゴム,true,2,右リア泥除けゴム脱着
右後ろ泥除けゴム,右後ろ泥除けゴム,true,2,右後ろ泥除けゴム取替加工
右泥除けゴム,右泥除けゴム,true,2,右泥除けゴム修正
左リヤ泥除けゴム,左リヤ泥除けゴム,true,2,左リヤ泥除けゴム取付
ボルト,ボルト,true,364,押えボルト折れ込み取替加工２本
ステー,ステー,true,353,右ウイング枠骨ステー腐食部分切断付け替え溶接
ブラケット,ブラケット,true,262,左ウイング後ろウイングキャッチブラケット折損部補強リブ取付加工
ボルト折れ込み修理,ボルト折れ込み修理,true,34,エアコネクターボルト折れ込み修理
ステー曲がり直し,ステー曲がり直し,true,27,反射板ステー曲がり直し
