name,sort_order,reading
タキゲンキャッチ,424,たきげんきゃっち
ウィングキャッチロック,425,うぃんぐきゃっちろっく
ドア蝶番,426,どあちょうつがい
コンテナロックハンドル,427,こんてなろっくはんどる
ルーフマーカーブラケット,428,るふまがぶらけっと
アウトリガーハンドル,429,あうとりがはんどる
ステンロックスイッチステー,430,すてんろっくすいっちすで
リッド,431,りっど
グリル,432,ぐりる
サイドインシールパネル,433,さいどいんじるぱねる
ドアメッキガーニッシュ,434,どあめっきがにっしゅ
ハーネス,435,ばねす
観音扉ストライカー,436,かんのんとびらすとらいかー
ステン枠,437,すてん枠
チェンジロッド,438,ちぇんじろっど
Uボルト,439,Uぼると
キャブショックアブソーバー,440,きゃぶしょっくあぶぞば
クラッチペダルカバー,441,くらっちぺだるかば
チェーンカット,442,ちぇんかっと
スタンションホール,443,すたんしょんぼる
スタンションホールキット,444,すたんしょんぼるきっと
バックカメラブラケット,445,ばっくかめらぶらけっと
ロックプレートボルト,446,ろっくぷれとぼると
ナンバー枠,447,なんばー枠
テールランプブラケット,448,でるらんぷぶらけっと
突っ張り棒,449,突っ張りぼう
カプラーワイヤー,450,かぷらわいや
サイドガードASSY,451,さいどがーどASY
ドアースケット,452,どあすけっと
中板,453,ちゅういた
ライニング,454,らいにんぐ
フロントキャブショック,455,ふろんときゃぶしょっく
ウェザーストリップ,456,うぇざすとりっぷ
ウィンドシールドロアパネル,457,うぃんどじるどろあぱねる
ウィング蝶番ピン,458,うぃんぐちょうつがいぴん
カプラーアース,459,かぷらあす
トルクスビット,460,とるくすびっと
丸ノコ,461,丸のこ
キャップ,462,きゃっぷ
ウィングシリンダー,463,うぃんぐしりんだ
柱キャッチ,464,柱きゃっち
ウィング中板,465,うぃんぐちゅういた
インナーボード,466,いんなぼど
コンテナロックリターンスプリング,467,こんてなろっくりだんすぷりんぐ
ウィンググリスアップ,468,うぃんぐりすあっぷ
センサー,469,せんさー
ステップブラケット,470,すてっぷぶらけっと
バンパーステー,471,ばんぱすで
バンパーフィニシャー,472,ばんぱふぃにしゃ
下廻り,473,げ廻り
アクセルペダル,474,あくせるぺだる
ダッシュボード側,475,だっしゅぼーど側
ルーフ,476,るふ
ゲージ,477,げーじ
エア抜きホース,478,えあ抜きほーす
ブラケットブッシュゴム,479,ぶらけっとぶっしゅごむ
キャッチローラーブラケット,480,きゃっちろらぶらけっと
センターバンパー,481,せんだばんぱ
ウィング,482,うぃんぐ
ウィングルーフ,483,うぃんぐるふ
鳥居,484,鳥居
ウィング蝶番ボルト,485,うぃんぐちょうつがいぼると
ドア蝶番ピン,486,どあちょうつがいぴん
煽り開閉補助装置,487,煽りかいへいほ助そうち
ドア,488,どあ
キャブショック,489,きゃぶしょっく
エンジンカバーステー,490,えんじんかばすで
ロープ,491,ろーぷ
リンギ,492,りんぎ
バンパーグリル,493,ばんぱぐりる
フラッシャーレンズ,494,ふらっしゃれんず
フェンダー,495,ふぇんだ
フェンダーステー,496,ふぇんだすで
コック,497,こっく
エアコネクターボルト,498,えあこねくだぼると
ブラケット2本,499,ぶらけっとにほん
繋ぎホース,500,繋ぎほーす
折損部ボルト止め,501,折損ぶぼるとしめ
ヒンジ,502,ひんじ
建付け,503,けんつけ
サッシ,504,さっし
ウィングリターンスプリング,505,うぃんぐりだんすぷりんぐ
ホースコック,506,ぼすこっく
フォグランプベゼル,507,ふぉぐらんぷべぜる
カプラー,508,かぷら
エンジンカバー,509,えんじんかば
