name,name_norm,basic_part,count,example
左工具箱補強ステー,左工具箱補強ステー,ステー,1,"左工具箱補強ステー取付溶接"
ミラーステー,ミラーステー,ステー,1,"ミラーステー取替"
ステー折損カットステン,ステー折損カットステン,ステー,1,"ステー折損カットステン溶接仕上"
前左右反射板ステー,前左右反射板ステー,ステー,1,"前左右反射板ステー曲がり直し"
ボードアングルステンステー,ボードアングルステンステー,ステー,1,"ステンボードアングルステンステー穴掘り取替加工"
マフラーステー,マフラーステー,ステー,1,"マフラーステー2個制作取付加工"
バックカメラステー,バックカメラステー,ステー,1,"バックカメラステー制作取付加工"
折損応急ステン穴掘りステー,折損応急ステン穴掘りステー,ステー,1,"右後ろサイドガード折損応急ステン穴掘りステー制作取付加工"
踏板ステー,踏板ステー,ステー,1,"踏板ステー折損溶接1ヶ所"
ライトステー,ライトステー,ステー,1,"ライトステー鈑金"
左サイドガード前ステー,左サイドガード前ステー,ステー,1,"左サイドガード前ステー折損修正溶接"
フラッシャーステー,フラッシャーステー,ステー,1,"フラッシャーステー取付"
ステー取付部引出し,ステー取付部引出し,ステー,1,"ステー取付部引出し"
後ろステー,後ろステー,ステー,1,"後ろステー折損部修正補強取付加工"
左リヤ反射板ステー,左リヤ反射板ステー,ステー,1,"左リヤ反射板ステー塗装"
ステー塗装,ステー塗装,ステー,1,"左リヤ反射板ステー塗装"
左ステップステー,左ステップステー,ステー,1,"左ステップステー脱着修正"
フォグステー,フォグステー,ステー,1,"フォグステー鈑金"
コンデンサステー,コンデンサステー,ステー,1,"コンデンサステー脱着"
配線ステー,配線ステー,ステー,1,"配線ステー脱着"
メインステー,メインステー,ステー,1,"メインステー修正"
ヘッドライトステー,ヘッドライトステー,ステー,1,"ヘッドライトステー鈑金"
ラック左ステー,ラック左ステー,ステー,1,"ラック左ステー製作取替加工溶接"
ブラケットステー,ブラケットステー,ステー,1,"ブラケットステー脱着"
ステー組替,ステー組替,ステー,1,"ステー組替"
右前サイドバンパーステー,右前サイドバンパーステー,ステー,1,"右前サイドバンパーステー脱着折損修理"
右ウィングセンターステー,右ウィングセンターステー,ステー,1,"右ウィングセンターステー脱着曲がり直し"
サイドガード突っ張りステー,サイドガード突っ張りステー,ステー,1,"左右サイドガード突っ張りステー8カ所リブ入れ溶接"
