id,invoice_id,line_no,sub_no,raw_label_part,action,target,unit_price,quantity,amount,is_cancelled,confidence_score,extraction_method,notes,created_at,updated_at,record_type,raw_label_full,set_name,other,is_latest
49,21111307-1,1,0,右ミラーアーム脱着 他（6点）,脱着,,10000,1,10000,false,0.90,自動変換,,,,set_parent,右ミラーアーム脱着、右ドアー捻じれ直し、スカッフプレート脱着、ウェザーストリップゴム取替、ストライカー取替、ドアー蝶番脱着修正コーキング入替,右ミラーアーム脱着 他（6点）,,true
50,21111307-1,1,1,右ミラーアーム脱着,脱着,,,1,,false,0.90,自動変換,,,,set_child,右ミラーアーム脱着、右ドアー捻じれ直し、スカッフプレート脱着、ウェザーストリップゴム取替、ストライカー取替、ドアー蝶番脱着修正コーキング入替,右ミラーアーム脱着 他（6点）,,true
51,21111307-1,1,2,右ドアー捻じれ直し脱着,脱着,ドア,,1,,false,0.90,自動変換,,,,set_child,右ミラーアーム脱着、右ドアー捻じれ直し、スカッフプレート脱着、ウェザーストリップゴム取替、ストライカー取替、ドアー蝶番脱着修正コーキング入替,右ミラーアーム脱着 他（6点）,,true
52,21111307-1,1,3,スカッフプレート脱着,脱着,,,1,,false,0.90,自動変換,,,,set_child,右ミラーアーム脱着、右ドアー捻じれ直し、スカッフプレート脱着、ウェザーストリップゴム取替、ストライカー取替、ドアー蝶番脱着修正コーキング入替,右ミラーアーム脱着 他（6点）,,true
53,21111307-1,1,4,ウェザーストリップゴム取替,取替,,,1,,false,0.90,自動変換,,,,set_child,右ミラーアーム脱着、右ドアー捻じれ直し、スカッフプレート脱着、ウェザーストリップゴム取替、ストライカー取替、ドアー蝶番脱着修正コーキング入替,右ミラーアーム脱着 他（6点）,,true
54,21111307-1,1,5,ストライカー取替,取替,,,1,,false,0.90,自動変換,,,,set_child,右ミラーアーム脱着、右ドアー捻じれ直し、スカッフプレート脱着、ウェザーストリップゴム取替、ストライカー取替、ドアー蝶番脱着修正コーキング入替,右ミラーアーム脱着 他（6点）,,true
55,21111307-1,1,6,ドアー蝶番脱着修正コーキング入替,修正・脱着,ドア,,1,,false,0.90,自動変換,,,,set_child,右ミラーアーム脱着、右ドアー捻じれ直し、スカッフプレート脱着、ウェザーストリップゴム取替、ストライカー取替、ドアー蝶番脱着修正コーキング入替,右ミラーアーム脱着 他（6点）,,true
56,21111307-2,1,0,右ミラーアーム脱着 他（6点）,脱着,,10000,1,10000,false,0.90,自動変換,,,,set_parent,右ミラーアーム脱着、右ドアー捻じれ直し、スカッフプレート脱着、ウェザーストリップゴム取替、ストライカー取替、ドアー蝶番脱着修正コーキング入替,右ミラーアーム脱着 他（6点）,,true
57,21111307-2,1,1,右ミラーアーム脱着,脱着,,,1,,false,0.90,自動変換,,,,set_child,右ミラーアーム脱着、右ドアー捻じれ直し、スカッフプレート脱着、ウェザーストリップゴム取替、ストライカー取替、ドアー蝶番脱着修正コーキング入替,右ミラーアーム脱着 他（6点）,,true
58,21111307-2,1,2,右ドアー捻じれ直し脱着,脱着,ドア,,1,,false,0.90,自動変換,,,,set_child,右ミラーアーム脱着、右ドアー捻じれ直し、スカッフプレート脱着、ウェザーストリップゴム取替、ストライカー取替、ドアー蝶番脱着修正コーキング入替,右ミラーアーム脱着 他（6点）,,true
59,21111307-2,1,3,スカッフプレート脱着,脱着,,,1,,false,0.90,自動変換,,,,set_child,右ミラーアーム脱着、右ドアー捻じれ直し、スカッフプレート脱着、ウェザーストリップゴム取替、ストライカー取替、ドアー蝶番脱着修正コーキング入替,右ミラーアーム脱着 他（6点）,,true
60,21111307-2,1,4,ウェザーストリップゴム取替,取替,,,1,,false,0.90,自動変換,,,,set_child,右ミラーアーム脱着、右ドアー捻じれ直し、スカッフプレート脱着、ウェザーストリップゴム取替、ストライカー取替、ドアー蝶番脱着修正コーキング入替,右ミラーアーム脱着 他（6点）,,true
61,21111307-2,1,5,ストライカー取替,取替,,,1,,false,0.90,自動変換,,,,set_child,右ミラーアーム脱着、右ドアー捻じれ直し、スカッフプレート脱着、ウェザーストリップゴム取替、ストライカー取替、ドアー蝶番脱着修正コーキング入替,右ミラーアーム脱着 他（6点）,,true
